Professoren,ResearchGate,Google Scholar,Microsoft Academic Search,ACM DL,CiteSeerX,Scopus Elsevier,Web of Science
Adhemar Bultheel, ,4116,1482,208,114,659,1184
Bart De Decker,223, ,252,8,33,68,108
Bart Demoen, ,2811,1398,334,137,307,418
Bart Jacobs,139,5272,3635,1013,140, , 
Bettina Berendt, , ,1099,402,62,580,480
Christophe Huygens,54,246,65,36, ,62,42
Daan Huybrechs, , ,185,46,15,159,214
Danny De Schreye, ,2599,1642,5,73,301,525
Danny Hughes, ,1229,475,186,21,468, 
Dave Clarke,713,2860,4463,830,37,391, 
Dirk Roose,1316,4706,1708,101,64,1432,1915
Eric Steegmans,116, ,110,36,35,59,53
Erik Duval,1418,5055,1494,211,35,599, 
Frank Piessens, ,2491,831,396,88,335,284
Gerda Janssens,518, ,838,202,66,212,811
Hendrik Blockeel,1896,5867,2517, ,133,632,625
Henk Olivié, , ,108,11,4,6,10
Jesse Davis, ,1295,338,5,,807, 
Karl Meerbergen,562, ,762,67,16,578,627
Luc De Raedt,2321,10715,5169,1344,105,1449,1277
Marc Denecker,1496, ,1712,422,113,372,490
Marc Van Barel, , ,957,8,88,344,703
Matthijs van Leeuwen, ,602,256,25,9,66, 
Maurice Bruynooghe, ,6367,3325,766,169,765,995
Philip Dutré, ,2304,933,383,66,567,447
Pierre Verbaeten, , ,595,141,81,98,67
Raf Vandebril,237,560,302,21,30,120,181
Roel Wuyts,889,2129,1049,352,66,339,263
Ronald Cools,831,2324,967,201,27,566, 
Stefan Vandewalle,566,2141,749,156,38,676,1139
Tom Holvoet, ,3370,1362,309,133,452,314
Wouter Joosen,1239, ,1328,613,138,474,536
Yolande Berbers,764, ,847,211,40,461,213